"a","b"
"0.25","326"
"0.21","326"
"0.29","334"
"0.33","335"
"0.26","337"
"0.22","337"
"0.3","339"
"0.25","402"
"0.33","402"
"0.26","403"
"0.29","403"
"0.22","404"
"0.3","405"
"0.35","552"
"0.3","552"
"0.42","552"
"0.29","553"
"0.33","553"
"0.25","553"
"0.26","554"
"0.38","554"
"0.7","2757"
"0.86","2757"
"0.73","2759"
"0.78","2759"
"0.96","2759"
"0.81","2760"
"0.77","2760"
"0.74","2760"
"0.61","2761"
"0.9","2761"
"0.92","2763"
"0.65","2765"
"0.58","2772"
"1.17","2774"
"0.83","2774"
"0.74","2775"
"0.73","2776"
"0.54","2776"
"0.7","2777"
"0.98","2777"
"0.78","2777"
"0.52","2778"
"0.77","2780"
"1.01","2781"
"0.84","2782"
"0.81","2784"
"0.64","2787"
"0.83","2788"
"1.05","2789"
"0.57","2789"
"0.89","2791"
"0.61","2800"
"0.9","2800"
"0.96","2801"
"1.04","2801"
"0.93","2803"
"0.58","2808"
"1.2","2809"
"0.43","555"
"0.37","556"
"1.02","2815"
"0.86","2818"
"1.17","2825"
"0.73","2826"
"0.7","2826"
"0.9","2826"
"0.78","2826"
"0.97","2826"
"0.81","2827"
"1.01","2828"
"0.61","2829"
"0.77","2829"
"0.54","2830"
"0.92","2832"
"0.83","2832"
"0.56","2833"
"0.85","2833"
"0.52","2834"
"0.64","2835"
"0.74","2839"
"1.27","2845"
"1.2","2850"
"0.66","2851"
"0.87","2851"
"0.86","2851"
"0.58","2852"
"1.12","2854"
"0.68","2854"
"1.04","2855"
"0.98","2855"
"1.02","2856"
"0.62","2861"
"1.22","2862"
"1.08","2869"
"0.73","2876"
"0.81","2876"
"0.74","2877"
"0.7","2877"
"0.65","2879"
"0.85","2879"
"1.02","2879"
"0.93","2880"
"1.05","2881"
"0.54","2882"
"0.88","2882"
"0.9","2883"
"1.03","2884"
"1.01","2885"
"0.77","2885"
"0.5","2889"
"0.66","2890"
"0.86","2892"
"1.2","2892"
"0.83","2893"
"0.61","2897"
"1.12","2898"
"0.98","2898"
"0.62","2904"
"0.95","2905"
"0.41","558"
"0.68","2922"
"0.78","2923"
"0.51","2925"
"0.81","2926"
"0.77","2927"
"0.9","2927"
"0.7","2928"
"0.74","2929"
"0.73","2930"
"0.59","2933"
"0.92","2935"
"1.17","2935"
"0.83","2937"
"0.96","2937"
"1.24","2940"
"1.01","2940"
"1.04","2942"
"0.57","2945"
"0.78","2945"
"0.85","2945"
"0.54","2951"
"0.89","2955"
"0.98","2958"
"0.64","2960"
"1.5","2964"
"1.06","2964"
"0.86","2967"
"1.13","2968"
"0.52","2970"
"0.7","2975"
"0.83","2975"
"0.81","2975"
"0.77","2975"
"0.73","2976"
"0.93","2976"
"0.54","2977"
"0.86","2980"
"0.65","2980"
"0.9","2982"
"0.74","2984"
"1.01","2984"
"0.85","2986"
"0.61","2988"
"1.03","2988"
"0.57","2990"
"1.06","2992"
"0.69","2993"
"0.89","2993"
"1.24","2994"
"1.02","2999"
"0.78","3004"
"1.2","3011"
"0.96","3016"
"1.12","3017"
"0.5","3017"
"0.7","3026"
"0.61","3026"
"0.73","3026"
"0.83","3027"
"1.02","3027"
"1.01","3027"
"0.77","3027"
"0.81","3030"
"0.74","3030"
"0.57","3032"
"0.52","3033"
"0.93","3033"
"0.78","3035"
"1.14","3045"
"0.9","3048"
"0.66","3049"
"0.62","3050"
"1.03","3052"
"0.65","3056"
"0.85","3066"
"0.73","3075"
"0.7","3075"
"0.77","3075"
"0.81","3075"
"0.83","3078"
"0.94","3079"
"0.93","3079"
"1.01","3080"
"0.61","3082"
"0.86","3082"
"0.53","3084"
"0.85","3084"
"0.9","3084"
"1.02","3084"
"0.74","3087"
"0.58","3090"
"0.87","3090"
