"date","value"
"2013/4/28","136"
"2013/4/29","147"
"2013/4/30","147"
"2013/5/3","108"
"2013/5/4","115"
"2013/5/6","125"
"2013/5/7","113"
"2013/5/9","113"
"2013/5/10","122"
"2013/5/15","116"
"2013/5/16","119"
"2013/5/17","125"
"2013/5/18","125"
"2013/5/19","125"
"2013/5/21","123"
"2013/5/22","124"
"2013/5/26","136"
"2013/5/27","135"
"2013/5/28","131"
"2013/5/29","133"
"2013/6/2","129"
"2013/6/3","123"
"2013/6/4","124"
"2013/6/8","111"
"2013/6/9","109"
"2013/6/12","112"
"2013/6/14","105"
"2013/6/15","104"
"2013/6/16","102"
"2013/6/17","102"
"2013/6/20","114"
"2013/6/21","115"
"2013/6/26","105"
"2013/6/27","104"
"2013/7/2","92"
"2013/7/3","91"
"2013/7/6","75"
"2013/7/7","75"
"2013/7/8","80"
"2013/7/9","78"
"2013/7/12","104"
"2013/7/14","99"
"2013/7/15","102"
"2013/7/20","93"
"2013/7/21","92"
"2013/7/22","92"
"2013/7/23","97"
"2013/7/25","97"
"2013/7/26","97"
"2013/7/27","97"
"2013/7/31","111"
"2013/8/1","108"
"2013/8/2","108"
"2013/8/3","106"
"2013/8/4","106"
"2013/8/5","108"
"2013/8/7","107"
"2013/8/8","107"
"2013/8/10","104"
"2013/8/13","109"
"2013/8/14","115"
"2013/8/16","112"
"2013/8/19","123"
"2013/8/20","123"
"2013/8/21","125"
"2013/8/24","121"
"2013/8/25","123"
"2013/8/26","123"
"2013/8/31","141"
"2013/9/1","146"
"2013/9/2","147"
"2013/9/6","127"
"2013/9/7","126"
"2013/9/8","125"
"2013/9/11","138"
"2013/9/12","136"
"2013/9/13","138"
"2013/9/15","131"
"2013/9/18","133"
"2013/9/19","132"
"2013/9/20","136"
"2013/9/24","127"
"2013/9/25","130"
"2013/9/29","141"
"2013/9/30","138"
"2013/10/1","135"
"2013/10/3","124"
"2013/10/6","130"
"2013/10/7","130"
"2013/10/8","127"
"2013/10/12","136"
"2013/10/13","139"
"2013/10/18","156"
"2013/10/19","177"
"2013/10/20","175"
"2013/10/24","217"
"2013/10/25","199"
"2013/10/26","188"
"2013/10/30","209"
"2013/10/31","205"
"2013/11/5","251"
"2013/11/6","263"
"2013/11/9","371"
"2013/11/11","351"
"2013/11/12","363"
"2013/11/17","501"
"2013/11/18","704"
"2013/11/20","600"
"2013/11/23","845"
"2013/11/24","807"
"2013/11/29","1147"
"2013/11/30","1156"
"2013/12/2","1055"
"2013/12/4","1156"
"2013/12/5","1154"
"2013/12/6","1042"
"2013/12/8","803"
"2013/12/11","1002"
"2013/12/12","902"
"2013/12/13","942"
"2013/12/17","755"
"2013/12/18","679"
"2013/12/20","729"
"2013/12/21","654"
"2013/12/23","681"
"2013/12/24","684"
"2013/12/25","683"
"2013/12/26","778"
"2013/12/27","778"
"2013/12/29","749"
"2013/12/30","767"
"2013/12/31","761"
"2014/1/4","860"
"2014/1/5","952"
"2014/1/6","1017"
"2014/1/9","864"
"2014/1/10","871"
"2014/1/11","921"
"2014/1/12","929"
"2014/1/14","856"
"2014/1/16","866"
"2014/1/17","843"
"2014/1/18","841"
"2014/1/20","886"
"2014/1/22","870"
"2014/1/23","852"
"2014/1/24","822"
"2014/1/26","897"
"2014/1/28","833"
"2014/1/29","837"
"2014/2/1","854"
"2014/2/3","826"
"2014/2/4","840"
"2014/2/9","712"
"2014/2/10","704"
"2014/2/11","712"
"2014/2/13","658"
"2014/2/15","662"
"2014/2/16","665"
"2014/2/21","583"
"2014/2/22","614"
"2014/2/23","640"
"2014/2/25","541"
"2014/2/27","594"
"2014/2/28","584"
"2014/3/2","570"
"2014/3/3","703"
"2014/3/5","674"
"2014/3/6","670"
"2014/3/8","635"
"2014/3/11","638"
"2014/3/12","648"
"2014/3/17","633"
"2014/3/18","622"
"2014/3/19","622"
"2014/3/23","570"
"2014/3/24","587"
"2014/3/26","590"
"2014/3/29","505"
"2014/3/30","492"
"2014/4/1","495"
"2014/4/2","495"
"2014/4/3","450"
"2014/4/4","455"
"2014/4/5","464"
"2014/4/6","466"
"2014/4/10","443"
"2014/4/11","430"
"2014/4/13","427"
"2014/4/16","542"
"2014/4/17","534"
"2014/4/18","499"
"2014/4/22","503"
"2014/4/23","493"
"2014/4/24","500"
"2014/4/25","500"
"2014/4/28","448"
"2014/4/29","452"
"2014/5/1","461"
"2014/5/4","440"
"2014/5/5","441"
"2014/5/10","456"
"2014/5/11","455"
"2014/5/12","442"
"2014/5/13","442"
"2014/5/16","451"
"2014/5/17","452"
"2014/5/19","448"
"2014/5/22","525"
"2014/5/23","542"
"2014/5/24","525"
"2014/5/27","590"
"2014/5/28","579"
"2014/5/29","577"
"2014/6/3","674"
"2014/6/4","669"
"2014/6/7","657"
"2014/6/9","658"
"2014/6/10","660"
"2014/6/15","593"
"2014/6/16","609"
"2014/6/18","616"
"2014/6/21","599"
"2014/6/22","606"
"2014/6/26","582"
"2014/6/27","600"
"2014/6/28","604"
"2014/6/29","604"
"2014/7/1","658"
"2014/7/3","651"
"2014/7/4","648"
"2014/7/8","627"
"2014/7/9","627"
"2014/7/10","626"
"2014/7/12","637"
"2014/7/15","625"
"2014/7/16","623"
"2014/7/18","629"
"2014/7/19","629"
"2014/7/20","629"
"2014/7/21","624"
"2014/7/22","624"
"2014/7/23","624"
"2014/7/27","599"
"2014/7/28","595"
"2014/7/30","585"
"2014/8/1","598"
"2014/8/2","595"
"2014/8/3","589"
"2014/8/6","587"
"2014/8/8","598"
"2014/8/9","592"
"2014/8/10","594"
"2014/8/14","546"
"2014/8/15","518"
"2014/8/16","521"
"2014/8/19","486"
"2014/8/20","518"
"2014/8/21","532"
"2014/8/25","508"
"2014/8/26","513"
"2014/8/27","521"
"2014/9/1","485"
"2014/9/2","483"
"2014/9/3","482"
"2014/9/4","494"
"2014/9/7","488"
"2014/9/8","490"
"2014/9/9","477"
"2014/9/13","482"
"2014/9/14","480"
"2014/9/19","428"
"2014/9/20","423"
"2014/9/22","407"
"2014/9/23","442"
"2014/9/25","424"
"2014/9/26","415"
"2014/9/29","385"
"2014/10/1","391"
"2014/10/2","386"
"2014/10/7","339"
"2014/10/8","354"
"2014/10/13","397"
"2014/10/14","412"
"2014/10/17","385"
"2014/10/19","394"
"2014/10/20","390"
"2014/10/21","393"
"2014/10/25","360"
"2014/10/26","359"
"2014/10/28","360"
"2014/10/31","348"
"2014/11/1","341"
"2014/11/2","329"
"2014/11/6","353"
"2014/11/7","353"
"2014/11/8","347"
"2014/11/12","430"
"2014/11/13","457"
"2014/11/16","391"
"2014/11/18","392"
"2014/11/19","386"
"2014/11/21","358"
"2014/11/24","387"
"2014/11/25","395"
"2014/11/27","374"
"2014/11/30","383"
"2014/12/1","384"
"2014/12/2","384"
"2014/12/6","378"
"2014/12/7","376"
"2014/12/8","376"
"2014/12/10","352"
"2014/12/12","353"
"2014/12/13","352"
"2014/12/14","353"
"2014/12/18","324"
"2014/12/19","319"
"2014/12/23","336"
"2014/12/24","335"
"2014/12/25","323"
"2014/12/26","331"
"2014/12/30","315"
"2014/12/31","320"
"2015/1/1","320"
"2015/1/5","278"
"2015/1/6","288"
"2015/1/7","299"
"2015/1/11","280"
"2015/1/12","272"
"2015/1/17","212"
"2015/1/18","219"
"2015/1/20","215"
"2015/1/22","237"
"2015/1/23","235"
"2015/1/24","248"
"2015/1/26","309"
"2015/1/29","239"
"2015/1/30","243"
"2015/2/3","246"
"2015/2/4","230"
"2015/2/5","239"
"2015/2/10","222"
"2015/2/11","223"
"2015/2/12","222"
"2015/2/15","266"
"2015/2/16","240"
"2015/2/17","246"
"2015/2/19","243"
"2015/2/21","255"
"2015/2/22","246"
"2015/2/23","240"
"2015/2/26","238"
"2015/2/27","257"
"2015/2/28","255"
"2015/3/1","262"
"2015/3/3","286"
"2015/3/6","278"
"2015/3/7","278"
"2015/3/8","278"
"2015/3/10","300"
"2015/3/12","297"
"2015/3/13","295"
"2015/3/18","285"
"2015/3/19","264"
"2015/3/21","262"
"2015/3/23","277"
"2015/3/24","267"
"2015/3/25","249"
"2015/3/27","257"
"2015/3/30","249"
"2015/3/31","249"
"2015/4/1","248"
"2015/4/5","261"
"2015/4/6","262"
"2015/4/11","240"
"2015/4/12","238"
"2015/4/15","224"
"2015/4/17","229"
"2015/4/18","224"
"2015/4/22","238"
"2015/4/23","236"
"2015/4/24","236"
"2015/4/26","227"
"2015/4/29","227"
"2015/4/30","240"
"2015/5/2","236"
"2015/5/3","243"
"2015/5/4","243"
"2015/5/5","239"
"2015/5/6","236"
"2015/5/9","248"
"2015/5/11","244"
"2015/5/12","243"
"2015/5/13","244"
"2015/5/14","238"
"2015/5/16","238"
"2015/5/17","238"
"2015/5/18","237"
"2015/5/19","234"
"2015/5/22","241"
"2015/5/23","241"
"2015/5/24","242"
"2015/5/26","238"
"2015/5/28","238"
"2015/5/29","238"
"2015/5/30","237"
"2015/6/2","226"
"2015/6/4","227"
"2015/6/5","226"
"2015/6/6","226"
"2015/6/7","226"
"2015/6/9","231"
"2015/6/10","230"
"2015/6/11","230"
"2015/6/16","252"
"2015/6/17","257"
"2015/6/21","245"
"2015/6/22","248"
"2015/6/23","247"
"2015/6/25","243"
"2015/6/27","251"
"2015/6/28","251"
"2015/6/29","257"
"2015/6/30","268"
"2015/7/3","257"
"2015/7/4","261"
"2015/7/5","275"
"2015/7/7","271"
"2015/7/10","295"
"2015/7/11","299"
"2015/7/12","314"
"2015/7/16","291"
"2015/7/17","280"
"2015/7/18","283"
"2015/7/19","276"
"2015/7/22","278"
"2015/7/23","278"
"2015/7/27","298"
"2015/7/28","297"
"2015/7/29","295"
"2015/8/2","283"
"2015/8/3","285"
"2015/8/4","286"
"2015/8/5","286"
"2015/8/9","267"
"2015/8/10","267"
"2015/8/12","271"
"2015/8/13","266"
"2015/8/15","267"
"2015/8/16","262"
"2015/8/21","236"
"2015/8/22","235"
"2015/8/25","226"
"2015/8/27","229"
"2015/8/28","235"
"2015/9/1","231"
"2015/9/2","231"
"2015/9/3","230"
"2015/9/8","246"
"2015/9/9","244"
"2015/9/14","232"
"2015/9/15","259"
"2015/9/17","230"
"2015/9/20","232"
"2015/9/21","231"
"2015/9/25","237"
"2015/9/26","235"
"2015/9/27","235"
"2015/9/29","240"
"2015/10/2","239"
"2015/10/3","239"
"2015/10/4","239"
"2015/10/6","247"
"2015/10/7","247"
"2015/10/8","244"
"2015/10/9","244"
"2015/10/14","254"
"2015/10/15","256"
"2015/10/17","274"
"2015/10/20","271"
"2015/10/21","271"
"2015/10/25","294"
"2015/10/26","285"
"2015/10/27","296"
"2015/10/30","334"
"2015/11/1","327"
"2015/11/2","365"
"2015/11/4","496"
"2015/11/7","391"
"2015/11/8","390"
"2015/11/11","341"
"2015/11/13","341"
"2015/11/14","338"
"2015/11/16","332"
"2015/11/17","338"
"2015/11/19","335"
"2015/11/20","326"
"2015/11/24","323"
"2015/11/25","329"
"2015/11/26","367"
"2015/11/28","360"
"2015/11/30","382"
"2015/12/1","379"
"2015/12/2","362"
